ImageId,WKT_Pix
AOI_2_Vegas_img1009,"LINESTRING (1107.0 2.0, 1129.0 2.0)"
AOI_2_Vegas_img1009,"LINESTRING (1173.0 2.0, 1239.0 4.0, 1239.0 222.0, 1242.0 245.0, 1258.0 290.0, 1262.0 335.0)"
AOI_2_Vegas_img1009,"LINESTRING (60.0 3.0, 61.0 264.0)"
AOI_2_Vegas_img1009,"LINESTRING (134.0 3.0, 129.0 191.0, 132.0 261.0)"
AOI_2_Vegas_img1009,"LINESTRING (203.0 3.0, 202.0 259.0)"
AOI_2_Vegas_img1009,"LINESTRING (431.0 3.0, 430.0 61.0, 436.0 84.0, 449.0 94.0, 508.0 99.0)"
AOI_2_Vegas_img1009,"LINESTRING (508.0 3.0, 508.0 99.0)"
AOI_2_Vegas_img1009,"LINESTRING (591.0 3.0, 590.0 98.0)"
AOI_2_Vegas_img1009,"LINESTRING (653.0 4.0, 654.0 267.0, 650.0 338.0)"
AOI_2_Vegas_img1009,"LINESTRING (590.0 98.0, 508.0 99.0)"
AOI_2_Vegas_img1009,"LINESTRING (590.0 98.0, 594.0 337.0)"
AOI_2_Vegas_img1009,"LINESTRING (508.0 99.0, 508.0 240.0, 505.0 246.0, 484.0 250.0, 351.0 255.0, 277.0 256.0)"
AOI_2_Vegas_img1009,"LINESTRING (351.0 255.0, 356.0 340.0)"
AOI_2_Vegas_img1009,"LINESTRING (277.0 256.0, 252.0 261.0, 202.0 259.0, 154.0 263.0, 132.0 261.0, 112.0 265.0, 61.0 264.0, 2.0 267.0)"
AOI_2_Vegas_img1009,"LINESTRING (1262.0 335.0, 917.0 340.0, 893.0 343.0)"
AOI_2_Vegas_img1009,"LINESTRING (1262.0 335.0, 1296.0 337.0)"
AOI_2_Vegas_img1009,"LINESTRING (594.0 337.0, 650.0 338.0)"
AOI_2_Vegas_img1009,"LINESTRING (594.0 337.0, 589.0 341.0)"
AOI_2_Vegas_img1009,"LINESTRING (650.0 338.0, 685.0 339.0, 721.0 344.0, 845.0 340.0, 893.0 343.0)"
AOI_2_Vegas_img1009,"LINESTRING (650.0 338.0, 645.0 557.0)"
AOI_2_Vegas_img1009,"LINESTRING (356.0 340.0, 332.0 347.0, 3.0 357.0)"
AOI_2_Vegas_img1009,"LINESTRING (356.0 340.0, 589.0 341.0, 582.0 553.0, 582.0 684.0, 587.0 876.0, 593.0 923.0, 599.0 931.0, 612.0 935.0)"
AOI_2_Vegas_img1009,"LINESTRING (893.0 343.0, 895.0 393.0, 902.0 424.0, 997.0 420.0, 1001.0 424.0, 1004.0 440.0, 1004.0 502.0, 999.0 525.0, 991.0 529.0, 883.0 526.0, 838.0 520.0, 827.0 512.0)"
AOI_2_Vegas_img1009,"LINESTRING (902.0 424.0, 893.0 437.0, 851.0 476.0, 837.0 493.0, 827.0 512.0)"
AOI_2_Vegas_img1009,"LINESTRING (737.0 472.0, 736.0 530.0)"
AOI_2_Vegas_img1009,"LINESTRING (827.0 512.0, 820.0 514.0, 816.0 519.0, 771.0 527.0, 736.0 530.0)"
AOI_2_Vegas_img1009,"LINESTRING (816.0 519.0, 818.0 650.0, 832.0 707.0, 832.0 727.0, 825.0 742.0, 813.0 749.0, 785.0 752.0, 738.0 750.0, 724.0 745.0, 716.0 735.0, 714.0 708.0, 719.0 556.0)"
AOI_2_Vegas_img1009,"LINESTRING (736.0 530.0, 719.0 556.0)"
AOI_2_Vegas_img1009,"LINESTRING (2.0 542.0, 287.0 533.0, 346.0 533.0, 371.0 540.0, 379.0 551.0, 383.0 575.0, 381.0 801.0)"
AOI_2_Vegas_img1009,"LINESTRING (1297.0 542.0, 1209.0 553.0, 1059.0 577.0, 961.0 579.0, 945.0 581.0, 927.0 588.0, 917.0 601.0, 913.0 629.0, 907.0 929.0)"
AOI_2_Vegas_img1009,"LINESTRING (719.0 556.0, 645.0 557.0)"
AOI_2_Vegas_img1009,"LINESTRING (645.0 557.0, 643.0 926.0)"
AOI_2_Vegas_img1009,"LINESTRING (84.0 799.0, 248.0 798.0, 381.0 801.0, 378.0 1064.0)"
AOI_2_Vegas_img1009,"LINESTRING (1297.0 899.0, 1086.0 927.0, 1022.0 930.0, 907.0 929.0)"
AOI_2_Vegas_img1009,"LINESTRING (643.0 926.0, 629.0 933.0, 612.0 935.0)"
AOI_2_Vegas_img1009,"LINESTRING (643.0 926.0, 907.0 929.0, 910.0 1281.0)"
AOI_2_Vegas_img1009,"LINESTRING (612.0 935.0, 610.0 1296.0)"
AOI_2_Vegas_img1009,"LINESTRING (114.0 1062.0, 262.0 1060.0, 378.0 1064.0, 376.0 1295.0)"
AOI_2_Vegas_img1009,"LINESTRING (1297.0 1256.0, 1124.0 1277.0, 910.0 1281.0, 907.0 1294.0)"
AOI_2_Vegas_img101,LINESTRING EMPTY
AOI_2_Vegas_img1010,"LINESTRING (631.0 3.0, 633.0 67.0, 627.0 202.0, 628.0 253.0)"
AOI_2_Vegas_img1010,"LINESTRING (2.0 115.0, 302.0 104.0, 345.0 105.0, 368.0 112.0, 379.0 123.0, 384.0 145.0, 382.0 368.0)"
AOI_2_Vegas_img1010,"LINESTRING (1297.0 251.0, 1122.0 254.0)"
AOI_2_Vegas_img1010,"LINESTRING (628.0 253.0, 1122.0 254.0)"
AOI_2_Vegas_img1010,"LINESTRING (628.0 253.0, 621.0 764.0)"
AOI_2_Vegas_img1010,"LINESTRING (1122.0 254.0, 1124.0 458.0, 1130.0 492.0, 1141.0 501.0, 1164.0 507.0, 1297.0 511.0)"
AOI_2_Vegas_img1010,"LINESTRING (382.0 368.0, 2.0 378.0)"
AOI_2_Vegas_img1010,"LINESTRING (382.0 368.0, 384.0 765.0)"
AOI_2_Vegas_img1010,"LINESTRING (2.0 665.0, 29.0 665.0, 34.0 672.0, 38.0 781.0)"
AOI_2_Vegas_img1010,"LINESTRING (1297.0 750.0, 1244.0 754.0, 1032.0 750.0, 1012.0 753.0, 1001.0 758.0, 992.0 767.0, 986.0 792.0, 989.0 954.0, 977.0 968.0)"
AOI_2_Vegas_img1010,"LINESTRING (1244.0 754.0, 1241.0 900.0, 1234.0 972.0, 1241.0 1115.0, 1239.0 1296.0)"
AOI_2_Vegas_img1010,"LINESTRING (621.0 764.0, 515.0 763.0, 384.0 765.0)"
AOI_2_Vegas_img1010,"LINESTRING (621.0 764.0, 624.0 815.0, 619.0 944.0)"
AOI_2_Vegas_img1010,"LINESTRING (384.0 765.0, 360.0 771.0, 240.0 778.0, 38.0 781.0, 2.0 785.0)"
AOI_2_Vegas_img1010,"LINESTRING (511.0 942.0, 501.0 939.0, 392.0 940.0, 281.0 948.0, 3.0 954.0)"
AOI_2_Vegas_img1010,"LINESTRING (511.0 942.0, 619.0 944.0)"
AOI_2_Vegas_img1010,"LINESTRING (511.0 942.0, 509.0 1224.0)"
AOI_2_Vegas_img1010,"LINESTRING (619.0 944.0, 625.0 966.0, 694.0 969.0, 852.0 968.0, 887.0 965.0, 977.0 968.0)"
AOI_2_Vegas_img1010,"LINESTRING (625.0 966.0, 621.0 1015.0, 620.0 1173.0, 625.0 1198.0)"
AOI_2_Vegas_img1010,"LINESTRING (977.0 968.0, 988.0 986.0, 983.0 1105.0, 984.0 1275.0, 989.0 1297.0)"
AOI_2_Vegas_img1010,"LINESTRING (595.0 1186.0, 598.0 1219.0)"
AOI_2_Vegas_img1010,"LINESTRING (649.0 1195.0, 644.0 1220.0)"
AOI_2_Vegas_img1010,"LINESTRING (598.0 1219.0, 592.0 1225.0)"
AOI_2_Vegas_img1010,"LINESTRING (598.0 1219.0, 644.0 1220.0, 650.0 1247.0, 649.0 1295.0)"
AOI_2_Vegas_img1010,"LINESTRING (509.0 1224.0, 592.0 1225.0)"
AOI_2_Vegas_img1010,"LINESTRING (509.0 1224.0, 434.0 1227.0)"
AOI_2_Vegas_img1010,"LINESTRING (509.0 1224.0, 507.0 1296.0)"
AOI_2_Vegas_img1010,"LINESTRING (592.0 1225.0, 590.0 1295.0)"
AOI_2_Vegas_img1010,"LINESTRING (434.0 1227.0, 350.0 1229.0)"
AOI_2_Vegas_img1010,"LINESTRING (434.0 1227.0, 432.0 1297.0)"
AOI_2_Vegas_img1010,"LINESTRING (276.0 1229.0, 238.0 1227.0, 201.0 1231.0)"
AOI_2_Vegas_img1010,"LINESTRING (276.0 1229.0, 350.0 1229.0)"
AOI_2_Vegas_img1010,"LINESTRING (276.0 1229.0, 270.0 1297.0)"
AOI_2_Vegas_img1010,"LINESTRING (350.0 1229.0, 347.0 1295.0)"
AOI_2_Vegas_img1010,"LINESTRING (201.0 1231.0, 131.0 1232.0)"
AOI_2_Vegas_img1010,"LINESTRING (201.0 1231.0, 201.0 1296.0)"
AOI_2_Vegas_img1010,"LINESTRING (131.0 1232.0, 61.0 1235.0)"
AOI_2_Vegas_img1010,"LINESTRING (131.0 1232.0, 131.0 1296.0)"
AOI_2_Vegas_img1010,"LINESTRING (2.0 1235.0, 61.0 1235.0, 61.0 1294.0, 57.0 1297.0)"
AOI_2_Vegas_img1011,"LINESTRING (165.0 2.0, 242.0 62.0, 273.0 93.0, 294.0 120.0, 305.0 127.0)"
AOI_2_Vegas_img1011,"LINESTRING (641.0 2.0, 633.0 166.0, 636.0 185.0)"
AOI_2_Vegas_img1011,"LINESTRING (698.0 2.0, 697.0 185.0)"
AOI_2_Vegas_img1011,"LINESTRING (872.0 3.0, 870.0 65.0)"
AOI_2_Vegas_img1011,"LINESTRING (1216.0 3.0, 1214.0 61.0)"
AOI_2_Vegas_img1011,"LINESTRING (424.0 4.0, 422.0 60.0, 414.0 79.0, 402.0 87.0, 305.0 127.0, 309.0 142.0, 334.0 197.0, 344.0 233.0, 349.0 269.0, 349.0 320.0, 343.0 361.0, 329.0 406.0, 308.0 449.0, 270.0 504.0, 264.0 519.0)"
AOI_2_Vegas_img1011,"LINESTRING (636.0 185.0, 697.0 185.0)"
AOI_2_Vegas_img1011,"LINESTRING (697.0 185.0, 941.0 190.0, 1297.0 189.0)"
AOI_2_Vegas_img1011,"LINESTRING (697.0 185.0, 688.0 429.0, 682.0 477.0)"
AOI_2_Vegas_img1011,"LINESTRING (636.0 185.0, 631.0 206.0, 624.0 338.0, 623.0 463.0, 626.0 480.0)"
AOI_2_Vegas_img1011,"LINESTRING (1297.0 354.0, 920.0 355.0, 894.0 360.0, 879.0 370.0, 875.0 385.0, 872.0 698.0, 863.0 871.0)"
AOI_2_Vegas_img1011,"LINESTRING (682.0 477.0, 667.0 481.0, 655.0 492.0)"
AOI_2_Vegas_img1011,"LINESTRING (682.0 477.0, 685.0 491.0)"
AOI_2_Vegas_img1011,"LINESTRING (626.0 480.0, 624.0 496.0)"
AOI_2_Vegas_img1011,"LINESTRING (626.0 480.0, 644.0 485.0, 655.0 492.0, 651.0 547.0, 649.0 683.0, 641.0 821.0, 642.0 866.0)"
AOI_2_Vegas_img1011,"LINESTRING (264.0 519.0, 248.0 526.0, 98.0 669.0, 12.0 746.0, 2.0 752.0)"
AOI_2_Vegas_img1011,"LINESTRING (264.0 519.0, 333.0 569.0, 407.0 613.0, 415.0 624.0, 411.0 889.0)"
AOI_2_Vegas_img1011,"LINESTRING (1190.0 605.0, 1183.0 750.0, 1184.0 866.0)"
AOI_2_Vegas_img1011,"LINESTRING (1297.0 845.0, 1219.0 865.0, 1184.0 866.0)"
AOI_2_Vegas_img1011,"LINESTRING (642.0 866.0, 863.0 871.0)"
AOI_2_Vegas_img1011,"LINESTRING (642.0 866.0, 632.0 1205.0, 634.0 1295.0)"
AOI_2_Vegas_img1011,"LINESTRING (1184.0 866.0, 1128.0 874.0, 863.0 871.0, 852.0 1262.0, 858.0 1292.0, 882.0 1296.0, 1166.0 1293.0)"
AOI_2_Vegas_img1011,"LINESTRING (411.0 889.0, 2.0 900.0)"
AOI_2_Vegas_img1011,"LINESTRING (411.0 889.0, 411.0 1138.0)"
AOI_2_Vegas_img1011,"LINESTRING (593.0 1135.0, 459.0 1140.0, 411.0 1138.0)"
AOI_2_Vegas_img1011,"LINESTRING (1171.0 1136.0, 1166.0 1293.0)"
AOI_2_Vegas_img1011,"LINESTRING (411.0 1138.0, 263.0 1147.0, 2.0 1154.0)"
AOI_2_Vegas_img1011,"LINESTRING (1166.0 1293.0, 1297.0 1296.0)"
AOI_2_Vegas_img1016,"LINESTRING (905.0 4.0, 905.0 63.0)"
AOI_2_Vegas_img1016,"LINESTRING (22.0 9.0, 20.0 29.0, 3.0 39.0, 2.0 56.0)"
AOI_2_Vegas_img1016,"LINESTRING (20.0 29.0, 27.0 36.0, 29.0 52.0, 28.0 338.0)"
AOI_2_Vegas_img1016,"LINESTRING (905.0 63.0, 1085.0 63.0)"
AOI_2_Vegas_img1016,"LINESTRING (905.0 63.0, 902.0 106.0)"
AOI_2_Vegas_img1016,"LINESTRING (1085.0 63.0, 1215.0 62.0, 1297.0 68.0)"
AOI_2_Vegas_img1016,"LINESTRING (1085.0 63.0, 1085.0 530.0, 1089.0 669.0)"
AOI_2_Vegas_img1016,"LINESTRING (490.0 94.0, 523.0 95.0, 669.0 116.0)"
AOI_2_Vegas_img1016,"LINESTRING (902.0 106.0, 820.0 114.0)"
AOI_2_Vegas_img1016,"LINESTRING (902.0 106.0, 910.0 668.0)"
AOI_2_Vegas_img1016,"LINESTRING (820.0 114.0, 677.0 111.0, 669.0 116.0)"
AOI_2_Vegas_img1016,"LINESTRING (820.0 114.0, 818.0 216.0)"
AOI_2_Vegas_img1016,"LINESTRING (669.0 116.0, 675.0 129.0, 683.0 136.0, 797.0 209.0, 818.0 216.0)"
AOI_2_Vegas_img1016,"LINESTRING (573.0 125.0, 564.0 166.0, 570.0 182.0, 597.0 210.0, 662.0 238.0, 697.0 262.0, 709.0 275.0, 718.0 291.0, 727.0 318.0, 731.0 341.0)"
AOI_2_Vegas_img1016,"LINESTRING (1297.0 213.0, 1276.0 234.0, 1269.0 266.0, 1273.0 404.0, 1269.0 565.0, 1271.0 667.0)"
AOI_2_Vegas_img1016,"LINESTRING (818.0 216.0, 826.0 290.0)"
AOI_2_Vegas_img1016,"LINESTRING (28.0 338.0, 97.0 340.0, 106.0 347.0, 106.0 532.0)"
AOI_2_Vegas_img1016,"LINESTRING (28.0 338.0, 30.0 461.0, 29.0 608.0, 25.0 667.0)"
AOI_2_Vegas_img1016,"LINESTRING (731.0 341.0, 783.0 338.0, 805.0 340.0, 814.0 346.0, 821.0 365.0, 814.0 422.0, 813.0 580.0, 807.0 587.0, 753.0 593.0)"
AOI_2_Vegas_img1016,"LINESTRING (731.0 341.0, 728.0 357.0, 731.0 497.0, 699.0 503.0, 648.0 520.0, 606.0 522.0, 572.0 514.0, 503.0 480.0, 473.0 480.0, 447.0 492.0, 429.0 509.0, 422.0 520.0, 417.0 543.0, 421.0 588.0)"
AOI_2_Vegas_img1016,"LINESTRING (731.0 497.0, 746.0 587.0, 421.0 588.0)"
AOI_2_Vegas_img1016,"LINESTRING (746.0 587.0, 753.0 593.0)"
AOI_2_Vegas_img1016,"LINESTRING (421.0 588.0, 420.0 669.0)"
AOI_2_Vegas_img1016,"LINESTRING (753.0 593.0, 759.0 668.0)"
AOI_2_Vegas_img1016,"LINESTRING (25.0 667.0, 2.0 672.0)"
AOI_2_Vegas_img1016,"LINESTRING (25.0 667.0, 59.0 672.0, 279.0 674.0)"
AOI_2_Vegas_img1016,"LINESTRING (1271.0 667.0, 1089.0 669.0)"
AOI_2_Vegas_img1016,"LINESTRING (1271.0 667.0, 1296.0 669.0)"
AOI_2_Vegas_img1016,"LINESTRING (759.0 668.0, 420.0 669.0)"
AOI_2_Vegas_img1016,"LINESTRING (759.0 668.0, 910.0 668.0, 1089.0 669.0)"
AOI_2_Vegas_img1016,"LINESTRING (420.0 669.0, 279.0 674.0, 285.0 892.0, 291.0 956.0, 580.0 955.0, 1153.0 959.0, 1190.0 964.0, 1229.0 974.0, 1297.0 1008.0)"
AOI_2_Vegas_img1016,"LINESTRING (291.0 956.0, 286.0 1295.0)"
AOI_2_Vegas_img1016,"LINESTRING (1297.0 1054.0, 1294.0 1061.0, 1158.0 1167.0, 1121.0 1190.0, 1070.0 1211.0, 1012.0 1223.0, 962.0 1227.0, 676.0 1225.0, 607.0 1229.0, 568.0 1236.0, 528.0 1248.0, 444.0 1285.0, 433.0 1294.0, 415.0 1297.0)"
AOI_2_Vegas_img1019,"LINESTRING (26.0 2.0, 14.0 102.0, 5.0 128.0, 2.0 182.0)"
AOI_2_Vegas_img1019,"LINESTRING (716.0 2.0, 1196.0 3.0, 1199.0 6.0, 1207.0 280.0)"
AOI_2_Vegas_img1019,"LINESTRING (480.0 3.0, 478.0 163.0, 471.0 255.0, 476.0 481.0, 473.0 490.0, 460.0 493.0, 217.0 491.0, 189.0 488.0, 136.0 472.0, 2.0 418.0)"
AOI_2_Vegas_img1019,"LINESTRING (714.0 280.0, 1207.0 280.0)"
AOI_2_Vegas_img1019,"LINESTRING (1207.0 280.0, 1218.0 553.0)"
AOI_2_Vegas_img1019,"LINESTRING (725.0 552.0, 1218.0 553.0, 1228.0 716.0, 1234.0 782.0)"
AOI_2_Vegas_img1019,"LINESTRING (2.0 672.0, 245.0 672.0, 331.0 682.0, 384.0 703.0, 441.0 739.0, 479.0 759.0, 593.0 799.0, 602.0 807.0)"
AOI_2_Vegas_img1019,"LINESTRING (1297.0 764.0, 1260.0 778.0, 1234.0 782.0, 1225.0 803.0, 1129.0 821.0, 1046.0 827.0, 751.0 825.0, 690.0 821.0, 602.0 807.0)"
AOI_2_Vegas_img1019,"LINESTRING (1225.0 803.0, 1241.0 981.0, 1243.0 986.0, 1254.0 994.0, 1297.0 1002.0)"
AOI_2_Vegas_img1019,"LINESTRING (602.0 807.0, 597.0 866.0, 594.0 1044.0)"
AOI_2_Vegas_img1019,"LINESTRING (129.0 956.0, 124.0 987.0, 124.0 1022.0, 131.0 1031.0, 159.0 1040.0, 199.0 1044.0, 594.0 1044.0, 603.0 1297.0)"
AOI_2_Vegas_img1019,"LINESTRING (939.0 1120.0, 941.0 1294.0)"
AOI_2_Vegas_img1019,"LINESTRING (1297.0 1279.0, 1294.0 1283.0, 1268.0 1288.0, 1263.0 1293.0, 1209.0 1297.0)"
AOI_2_Vegas_img1021,"LINESTRING (105.0 2.0, 106.0 452.0)"
AOI_2_Vegas_img1021,"LINESTRING (493.0 3.0, 490.0 454.0)"
AOI_2_Vegas_img1021,"LINESTRING (1042.0 3.0, 1041.0 295.0, 1049.0 318.0, 1064.0 327.0, 1092.0 332.0, 1167.0 332.0, 1213.0 328.0, 1241.0 313.0, 1297.0 265.0)"
AOI_2_Vegas_img1021,"LINESTRING (20.0 4.0, 25.0 105.0, 28.0 270.0, 24.0 450.0)"
AOI_2_Vegas_img1021,"LINESTRING (710.0 4.0, 706.0 366.0, 704.0 405.0, 694.0 465.0)"
AOI_2_Vegas_img1021,"LINESTRING (24.0 450.0, 2.0 453.0)"
AOI_2_Vegas_img1021,"LINESTRING (24.0 450.0, 106.0 452.0, 490.0 454.0, 542.0 461.0, 581.0 470.0)"
AOI_2_Vegas_img1021,"LINESTRING (1297.0 485.0, 1233.0 496.0, 1173.0 501.0, 1063.0 502.0, 964.0 499.0, 760.0 500.0, 730.0 507.0, 721.0 514.0, 718.0 743.0, 719.0 1001.0)"
AOI_2_Vegas_img1021,"LINESTRING (1063.0 502.0, 1066.0 709.0, 1061.0 1005.0)"
AOI_2_Vegas_img1021,"LINESTRING (2.0 512.0, 121.0 524.0, 263.0 532.0, 354.0 528.0, 469.0 528.0, 478.0 531.0, 482.0 540.0, 481.0 597.0)"
AOI_2_Vegas_img1021,"LINESTRING (331.0 554.0, 367.0 585.0, 391.0 613.0, 410.0 626.0, 425.0 625.0, 456.0 603.0, 481.0 597.0, 482.0 684.0, 463.0 685.0, 443.0 694.0, 423.0 710.0, 410.0 725.0)"
AOI_2_Vegas_img1021,"LINESTRING (482.0 684.0, 486.0 896.0, 491.0 961.0, 493.0 1049.0, 490.0 1261.0, 496.0 1297.0)"
AOI_2_Vegas_img1021,"LINESTRING (2.0 720.0, 35.0 724.0, 65.0 736.0, 101.0 763.0, 111.0 773.0, 114.0 781.0)"
AOI_2_Vegas_img1021,"LINESTRING (2.0 780.0, 14.0 785.0, 44.0 806.0, 61.0 823.0)"
AOI_2_Vegas_img1021,"LINESTRING (114.0 781.0, 70.0 823.0)"
AOI_2_Vegas_img1021,"LINESTRING (114.0 781.0, 132.0 789.0, 172.0 820.0, 184.0 833.0, 190.0 858.0, 187.0 905.0)"
AOI_2_Vegas_img1021,"LINESTRING (61.0 823.0, 70.0 823.0)"
AOI_2_Vegas_img1021,"LINESTRING (70.0 823.0, 104.0 855.0, 150.0 891.0, 167.0 901.0, 187.0 905.0)"
AOI_2_Vegas_img1021,"LINESTRING (61.0 823.0, 27.0 854.0, 17.0 867.0, 4.0 868.0)"
AOI_2_Vegas_img1021,"LINESTRING (17.0 867.0, 24.0 877.0, 141.0 972.0, 152.0 983.0, 158.0 996.0)"
AOI_2_Vegas_img1021,"LINESTRING (187.0 905.0, 190.0 957.0, 187.0 992.0, 181.0 997.0)"
AOI_2_Vegas_img1021,"LINESTRING (2.0 951.0, 17.0 957.0, 32.0 967.0, 49.0 985.0, 53.0 1002.0)"
AOI_2_Vegas_img1021,"LINESTRING (158.0 996.0, 151.0 1003.0, 123.0 1007.0, 86.0 1007.0, 53.0 1002.0)"
AOI_2_Vegas_img1021,"LINESTRING (158.0 996.0, 181.0 997.0, 185.0 1022.0, 178.0 1072.0)"
AOI_2_Vegas_img1021,"LINESTRING (719.0 1001.0, 717.0 1116.0)"
AOI_2_Vegas_img1021,"LINESTRING (719.0 1001.0, 1061.0 1005.0)"
AOI_2_Vegas_img1021,"LINESTRING (53.0 1002.0, 2.0 1008.0)"
AOI_2_Vegas_img1021,"LINESTRING (1061.0 1005.0, 1062.0 1093.0, 1064.0 1101.0, 1072.0 1108.0, 1136.0 1112.0, 1297.0 1112.0)"
AOI_2_Vegas_img1021,"LINESTRING (2.0 1066.0, 69.0 1068.0, 138.0 1067.0, 178.0 1072.0, 177.0 1112.0, 171.0 1129.0)"
AOI_2_Vegas_img1021,"LINESTRING (2.0 1127.0, 140.0 1125.0, 171.0 1129.0, 170.0 1153.0, 159.0 1191.0)"
AOI_2_Vegas_img1021,"LINESTRING (2.0 1190.0, 159.0 1191.0, 155.0 1248.0, 91.0 1245.0, 62.0 1248.0, 2.0 1249.0)"
AOI_2_Vegas_img1021,"LINESTRING (155.0 1248.0, 156.0 1295.0)"
AOI_2_Vegas_img1021,"LINESTRING (561.0 1297.0, 653.0 1295.0, 666.0 1287.0, 683.0 1284.0, 1149.0 1285.0, 1170.0 1288.0, 1178.0 1294.0, 1297.0 1297.0)"
AOI_2_Vegas_img1045,"LINESTRING (512.0 3.0, 522.0 520.0, 521.0 585.0)"
AOI_2_Vegas_img1045,"LINESTRING (1070.0 4.0, 1083.0 584.0, 797.0 588.0)"
AOI_2_Vegas_img1045,"LINESTRING (1083.0 584.0, 1163.0 588.0, 1297.0 586.0)"
AOI_2_Vegas_img1045,"LINESTRING (521.0 585.0, 3.0 589.0)"
AOI_2_Vegas_img1045,"LINESTRING (521.0 585.0, 797.0 588.0, 799.0 844.0)"
AOI_2_Vegas_img1045,"LINESTRING (1297.0 777.0, 1286.0 782.0, 1255.0 783.0)"
AOI_2_Vegas_img1045,"LINESTRING (799.0 844.0, 378.0 847.0, 354.0 850.0, 329.0 863.0, 320.0 882.0, 318.0 912.0, 325.0 1296.0)"
AOI_2_Vegas_img1045,"LINESTRING (799.0 844.0, 807.0 1110.0, 803.0 1295.0)"
AOI_2_Vegas_img1045,"LINESTRING (1269.0 1090.0, 1294.0 1089.0)"
AOI_2_Vegas_img1046,"LINESTRING (476.0 2.0, 478.0 161.0)"
AOI_2_Vegas_img1046,"LINESTRING (1039.0 3.0, 1041.0 143.0, 896.0 153.0, 749.0 153.0, 478.0 161.0, 258.0 164.0, 2.0 173.0)"
AOI_2_Vegas_img1046,"LINESTRING (478.0 161.0, 491.0 613.0)"
AOI_2_Vegas_img1046,"LINESTRING (1058.0 187.0, 1063.0 290.0, 1060.0 456.0, 1062.0 594.0, 1057.0 608.0)"
AOI_2_Vegas_img1046,"LINESTRING (1103.0 586.0, 1251.0 600.0, 1277.0 600.0)"
AOI_2_Vegas_img1046,"LINESTRING (1057.0 608.0, 923.0 608.0, 804.0 613.0, 491.0 613.0)"
AOI_2_Vegas_img1046,"LINESTRING (1057.0 608.0, 1069.0 843.0, 1069.0 917.0)"
